'330000','浙江省','10',
'330402','浙江省嘉兴市南湖区','100402',
'330411','浙江省嘉兴市秀洲区','100411',
'330421','浙江省嘉兴市嘉善县','100421',
'330424','浙江省嘉兴市海盐县','100424',
'330481','浙江省嘉兴市海宁市','100481',
'330482','浙江省嘉兴市平湖市','100482',
'330483','浙江省嘉兴市桐乡市','100483',
'330500','浙江省湖州市','1005',
'330501','浙江省湖州市市辖区','100501',
'330502','浙江省湖州市吴兴区','100502',
'330503','浙江省湖州市南浔区','100503',
'330521','浙江省湖州市德清县','100521',
'330522','浙江省湖州市长兴县','100522',
'330523','浙江省湖州市安吉县','100523',
'330700','浙江省金华市','1007',
'330701','浙江省金华市市辖区','100701',
'330702','浙江省金华市婺城区','100702',
'330703','浙江省金华市金东区','100703',
'330723','浙江省金华市武义县','100723',
'330726','浙江省金华市浦江县','100726',
'330727','浙江省金华市磐安县','100727',
'330781','浙江省金华市兰溪市','100781',
'330782','浙江省金华市义乌市','100782',
'330783','浙江省金华市东阳市','100783',
'330784','浙江省金华市永康市','100784',
'330800','浙江省衢州市','1008',
'330801','浙江省衢州市市辖区','100801',
'330802','浙江省衢州市柯城区','100802',
'330803','浙江省衢州市衢江区','100803',
'330822','浙江省衢州市常山县','100822',
'330824','浙江省衢州市开化县','100824',
'330825','浙江省衢州市龙游县','100825',
'330881','浙江省衢州市江山市','100881',
'330900','浙江省舟山市','1009',
'330901','浙江省舟山市市辖区','100901',
'330902','浙江省舟山市定海区','100902',
'330903','浙江省舟山市普陀区','100903',
'330921','浙江省舟山市岱山县','100921',
'330922','浙江省舟山市嵊泗县','100922',
'331000','浙江省台州市','1010',
'331001','浙江省台州市市辖区','101001',
'331002','浙江省台州市椒江区','101002',
'331003','浙江省台州市黄岩区','101003',
'331004','浙江省台州市路桥区','101004',
'331021','浙江省台州市玉环县','101021',
'331022','浙江省台州市三门县','101022',
'331023','浙江省台州市天台县','101023',
'331024','浙江省台州市仙居县','101024',
'331081','浙江省台州市温岭市','101081',
'331082','浙江省台州市临海市','101082',
'331100','浙江省丽水市','1011',
'331101','浙江省丽水市市辖区','101101',
'331102','浙江省丽水市莲都区','101102',
'331121','浙江省丽水市青田县','101121',
'331122','浙江省丽水市缙云县','101122',
'331123','浙江省丽水市遂昌县','101123',
'331124','浙江省丽水市松阳县','101124',
'331125','浙江省丽水市云和县','101125',
'331126','浙江省丽水市庆元县','101126',
'331127','浙江省丽水市景宁畲族自治县','101127',
'331181','浙江省丽水市龙泉市','101181',
'110000','北京市','11',
'110100','北京市市辖区','1101',
'110101','北京市市辖区东城区','110101',
'110102','北京市市辖区西城区','110102',
'110105','北京市市辖区朝阳区','110105',
'110106','北京市市辖区丰台区','110106',
'110107','北京市市辖区石景山区','110107',
'110108','北京市市辖区海淀区','110108',
'110109','北京市市辖区门头沟区','110109',
'110111','北京市市辖区房山区','110111',
'110112','北京市市辖区通州区','110112',
'110113','北京市市辖区顺义区','110113',
'110114','北京市市辖区昌平区','110114',
'110115','北京市市辖区大兴区','110115',
'110116','北京市市辖区怀柔区','110116',
'110117','北京市市辖区平谷区','110117',
'110200','北京市县','1102',
'110228','北京市密云县','110228',
'110229','北京市延庆县','110229',
'120000','天津市','12',
'120100','天津市市辖区','1201',
'120101','天津市市辖区和平区','120101',
'120102','天津市市辖区河东区','120102',
'120103','天津市市辖区河西区','120103',
'120104','天津市市辖区南开区','120104',
'120105','天津市市辖区河北区','120105',
'120106','天津市市辖区红桥区','120106',
'120110','天津市市辖区东丽区','120110',
'120111','天津市市辖区西青区','120111',
'120112','天津市市辖区津南区','120112',
'120113','天津市市辖区北辰区','120113',
'120114','天津市市辖区武清区','120114',
'120115','天津市市辖区宝坻区','120115',
'120116','天津市市辖区滨海新区','120116',
'120200','天津市县','1202',
'120221','天津市宁河县','120221',
'120223','天津市静海县','120223',
'120225','天津市蓟县','120225',
'130000','河北省','13',
'130100','河北省石家庄市','1301',
'130101','河北省石家庄市市辖区','130101',
'130102','河北省石家庄市长安区','130102',
'130104','河北省石家庄市桥西区','130104',
'130105','河北省石家庄市新华区','130105',
'130107','河北省石家庄市井陉矿区','130107',
'130108','河北省石家庄市裕华区','130108',
'130109','河北省石家庄市藁城区','130109',
'130110','河北省石家庄市鹿泉区','130110',
'130111','河北省石家庄市栾城区','130111',
'130121','河北省石家庄市井陉县','130121',
'130123','河北省石家庄市正定县','130123',
'130125','河北省石家庄市行唐县','130125',
'130126','河北省石家庄市灵寿县','130126',
'130127','河北省石家庄市高邑县','130127',
'130128','河北省石家庄市深泽县','130128',
'130129','河北省石家庄市赞皇县','130129',
'130130','河北省石家庄市无极县','130130',
'130131','河北省石家庄市平山县','130131',
'130132','河北省石家庄市元氏县','130132',
'130133','河北省石家庄市赵县','130133',
'130183','河北省石家庄市晋州市','130183',
'130184','河北省石家庄市新乐市','130184',
'130200','河北省唐山市','1302',
'130201','河北省唐山市市辖区','130201',
'130202','河北省唐山市路南区','130202',
'130203','河北省唐山市路北区','130203',
'130204','河北省唐山市古冶区','130204',
'130205','河北省唐山市开平区','130205',
'130207','河北省唐山市丰南区','130207',
'130208','河北省唐山市丰润区','130208',
'130209','河北省唐山市曹妃甸区','130209',
'130223','河北省唐山市滦县','130223',
'130224','河北省唐山市滦南县','130224',
'130225','河北省唐山市乐亭县','130225',
'130227','河北省唐山市迁西县','130227',
'130229','河北省唐山市玉田县','130229',
'130281','河北省唐山市遵化市','130281',
'130283','河北省唐山市迁安市','130283',
'130300','河北省秦皇岛市','1303',
'130301','河北省秦皇岛市市辖区','130301',
'130302','河北省秦皇岛市海港区','130302',
'130303','河北省秦皇岛市山海关区','130303',
'130304','河北省秦皇岛市北戴河区','130304',
'130321','河北省秦皇岛市青龙满族自治县','130321',
'130322','河北省秦皇岛市昌黎县','130322',
'130323','河北省秦皇岛市抚宁县','130323',
'130324','河北省秦皇岛市卢龙县','130324',
'130400','河北省邯郸市','1304',
'130401','河北省邯郸市市辖区','130401',
'130402','河北省邯郸市邯山区','130402',
'130403','河北省邯郸市丛台区','130403',
'130404','河北省邯郸市复兴区','130404',
'130406','河北省邯郸市峰峰矿区','130406',
'130421','河北省邯郸市邯郸县','130421',
'130423','河北省邯郸市临漳县','130423',
'130424','河北省邯郸市成安县','130424',
'130425','河北省邯郸市大名县','130425',
'130426','河北省邯郸市涉县','130426',
'130427','河北省邯郸市磁县','130427',
'130428','河北省邯郸市肥乡县','130428',
'130429','河北省邯郸市永年县','130429',
'130430','河北省邯郸市邱县','130430',
'130431','河北省邯郸市鸡泽县','130431',
'130432','河北省邯郸市广平县','130432',
'130433','河北省邯郸市馆陶县','130433',
'130434','河北省邯郸市魏县','130434',
'130435','河北省邯郸市曲周县','130435',
'130481','河北省邯郸市武安市','130481',
'130500','河北省邢台市','1305',
'130501','河北省邢台市市辖区','130501',
'130502','河北省邢台市桥东区','130502',
'130503','河北省邢台市桥西区','130503',
'130521','河北省邢台市邢台县','130521',
'130522','河北省邢台市临城县','130522',
'130523','河北省邢台市内丘县','130523',
'130524','河北省邢台市柏乡县','130524',
'130525','河北省邢台市隆尧县','130525',
'130526','河北省邢台市任县','130526',
'130527','河北省邢台市南和县','130527',
'130528','河北省邢台市宁晋县','130528',
'130529','河北省邢台市巨鹿县','130529',
'130530','河北省邢台市新河县','130530',
'130531','河北省邢台市广宗县','130531',
'130532','河北省邢台市平乡县','130532',
'130533','河北省邢台市威县','130533',
'130534','河北省邢台市清河县','130534',
'130535','河北省邢台市临西县','130535',
'130581','河北省邢台市南宫市','130581',
'130582','河北省邢台市沙河市','130582',
'130600','河北省保定市','1306',
'130601','河北省保定市市辖区','130601',
'130602','河北省保定市新市区','130602',
'130603','河北省保定市北市区','130603',
'130604','河北省保定市南市区','130604',
'130621','河北省保定市满城县','130621',
'130622','河北省保定市清苑县','130622',
'130623','河北省保定市涞水县','130623',
'130624','河北省保定市阜平县','130624',
'130625','河北省保定市徐水县','130625',
'130626','河北省保定市定兴县','130626',
'130627','河北省保定市唐县','130627',
'130628','河北省保定市高阳县','130628',
'130629','河北省保定市容城县','130629',
'130630','河北省保定市涞源县','130630',
'130631','河北省保定市望都县','130631',
'130632','河北省保定市安新县','130632',
'130633','河北省保定市易县','130633',
'130634','河北省保定市曲阳县','130634',
'130635','河北省保定市蠡县','130635',
'130636','河北省保定市顺平县','130636',
'130637','河北省保定市博野县','130637',
'130638','河北省保定市雄县','130638',
'130681','河北省保定市涿州市','130681',
'130683','河北省保定市安国市','130683',
'130684','河北省保定市高碑店市','130684',
'130700','河北省张家口市','1307',
'130701','河北省张家口市市辖区','130701',
'130702','河北省张家口市桥东区','130702',
'130703','河北省张家口市桥西区','130703',
'130705','河北省张家口市宣化区','130705',
'130706','河北省张家口市下花园区','130706',
'130721','河北省张家口市宣化县','130721',
'130722','河北省张家口市张北县','130722',
'130723','河北省张家口市康保县','130723',
'130724','河北省张家口市沽源县','130724',
'130725','河北省张家口市尚义县','130725',
'130726','河北省张家口市蔚县','130726',
'130727','河北省张家口市阳原县','130727',
'130728','河北省张家口市怀安县','130728',
'130729','河北省张家口市万全县','130729',
'130730','河北省张家口市怀来县','130730',
'130731','河北省张家口市涿鹿县','130731',
'130732','河北省张家口市赤城县','130732',
'130733','河北省张家口市崇礼县','130733',
'130800','河北省承德市','1308',
'130801','河北省承德市市辖区','130801',
'130802','河北省承德市双桥区','130802',
'130803','河北省承德市双滦区','130803',
'130804','河北省承德市鹰手营子矿区','130804',
'130821','河北省承德市承德县','130821',
'130822','河北省承德市兴隆县','130822',
'130823','河北省承德市平泉县','130823',
'130824','河北省承德市滦平县','130824',
'130825','河北省承德市隆化县','130825',
'130826','河北省承德市丰宁满族自治县','130826',
'130827','河北省承德市宽城满族自治县','130827',
'130828','河北省承德市围场满族蒙古族自治县','130828',
'130900','河北省沧州市','1309',
'130901','河北省沧州市市辖区','130901',
'130902','河北省沧州市新华区','130902',
'130903','河北省沧州市运河区','130903',
'130921','河北省沧州市沧县','130921',
'130922','河北省沧州市青县','130922',
'130923','河北省沧州市东光县','130923',
'130924','河北省沧州市海兴县','130924',
'130925','河北省沧州市盐山县','130925',
'130926','河北省沧州市肃宁县','130926',
'130927','河北省沧州市南皮县','130927',
'130928','河北省沧州市吴桥县','130928',
'130929','河北省沧州市献县','130929',
'130930','河北省沧州市孟村回族自治县','130930',
'130981','河北省沧州市泊头市','130981',
'130982','河北省沧州市任丘市','130982',
'130983','河北省沧州市黄骅市','130983',
'130984','河北省沧州市河间市','130984',
'131000','河北省廊坊市','1310',
'131001','河北省廊坊市市辖区','131001',
'131002','河北省廊坊市安次区','131002',
'131003','河北省廊坊市广阳区','131003',
'131022','河北省廊坊市固安县','131022',
'131023','河北省廊坊市永清县','131023',
'131024','河北省廊坊市香河县','131024',
'131025','河北省廊坊市大城县','131025',
'131026','河北省廊坊市文安县','131026',
'131028','河北省廊坊市大厂回族自治县','131028',
'131081','河北省廊坊市霸州市','131081',
'131082','河北省廊坊市三河市','131082',
'131100','河北省衡水市','1311',
'131101','河北省衡水市市辖区','131101',
'131102','河北省衡水市桃城区','131102',
'131121','河北省衡水市枣强县','131121',
'131122','河北省衡水市武邑县','131122',
'131123','河北省衡水市武强县','131123',
'131124','河北省衡水市饶阳县','131124',
'131125','河北省衡水市安平县','131125',
'131126','河北省衡水市故城县','131126',
'131127','河北省衡水市景县','131127',
'131128','河北省衡水市阜城县','131128',
'131181','河北省衡水市冀州市','131181',
'131182','河北省衡水市深州市','131182',
'139000','河北省省直辖县级行政区划','1390',
'139001','河北省省直辖县级行政区划定州市','139001',
'139002','河北省省直辖县级行政区划辛集市','139002',
'140000','山西省','14',
'140100','山西省太原市','1401',
'140101','山西省太原市市辖区','140101',
'140105','山西省太原市小店区','140105',
'140106','山西省太原市迎泽区','140106',
'140107','山西省太原市杏花岭区','140107',
'140108','山西省太原市尖草坪区','140108',
'140109','山西省太原市万柏林区','140109',
'140110','山西省太原市晋源区','140110',
'140121','山西省太原市清徐县','140121',
'140122','山西省太原市阳曲县','140122',
'140123','山西省太原市娄烦县','140123',
'140181','山西省太原市古交市','140181',
'140200','山西省大同市','1402',
'140201','山西省大同市市辖区','140201',
'140202','山西省大同市城区','140202',
'140203','山西省大同市矿区','140203',
'140211','山西省大同市南郊区','140211',
'140212','山西省大同市新荣区','140212',
'140221','山西省大同市阳高县','140221',
'140222','山西省大同市天镇县','140222',
'140223','山西省大同市广灵县','140223',
'140224','山西省大同市灵丘县','140224',
'140225','山西省大同市浑源县','140225',
'140226','山西省大同市左云县','140226',
'140227','山西省大同市大同县','140227',
'140300','山西省阳泉市','1403',
'140301','山西省阳泉市市辖区','140301',
'140302','山西省阳泉市城区','140302',
'140303','山西省阳泉市矿区','140303',
'140311','山西省阳泉市郊区','140311',
'140321','山西省阳泉市平定县','140321',
'140322','山西省阳泉市盂县','140322',
'140400','山西省长治市','1404',
'140401','山西省长治市市辖区','140401',
'140402','山西省长治市城区','140402',
'140411','山西省长治市郊区','140411',
'140421','山西省长治市长治县','140421',
'140423','山西省长治市襄垣县','140423',
'140424','山西省长治市屯留县','140424',
'140425','山西省长治市平顺县','140425',
'140426','山西省长治市黎城县','140426',
'140427','山西省长治市壶关县','140427',
'140428','山西省长治市长子县','140428',
'140429','山西省长治市武乡县','140429',
'140430','山西省市辖区沁县','140430',
'140431','山西省长治市沁源县','140431',
'140481','山西省长治市潞城市','140481',
'140500','山西省晋城市','1405',
'140501','山西省晋城市市辖区','140501',
'140502','山西省晋城市城区','140502',
'140521','山西省晋城市沁水县','140521',
'140522','山西省晋城市阳城县','140522',
'140524','山西省晋城市陵川县','140524',
'140525','山西省晋城市泽州县','140525',
'140581','山西省晋城市高平市','140581',
'140600','山西省朔州市','1406',
'140601','山西省朔州市市辖区','140601',
'140602','山西省朔州市朔城区','140602',
'140603','山西省朔州市平鲁区','140603',
'140621','山西省朔州市山阴县','140621',
'140622','山西省朔州市应县','140622',
'140623','山西省朔州市右玉县','140623',
'140624','山西省朔州市怀仁县','140624',
'140700','山西省晋中市','1407',
'140701','山西省晋中市市辖区','140701',
'140702','山西省晋中市榆次区','140702',
'140721','山西省晋中市榆社县','140721',
'140722','山西省晋中市左权县','140722',
'140723','山西省晋中市和顺县','140723',
'140724','山西省晋中市昔阳县','140724',
'140725','山西省晋中市寿阳县','140725',
'140726','山西省晋中市太谷县','140726',
'140727','山西省晋中市祁县','140727',
'140728','山西省晋中市平遥县','140728',
'140729','山西省晋中市灵石县','140729',
'140781','山西省晋中市介休市','140781',
'140800','山西省运城市','1408',
'140801','山西省运城市市辖区','140801',
'140802','山西省运城市盐湖区','140802',
'140821','山西省运城市临猗县','140821',
'140822','山西省运城市万荣县','140822',
'140823','山西省运城市闻喜县','140823',
'140824','山西省运城市稷山县','140824',
'140825','山西省运城市新绛县','140825',
'140826','山西省运城市绛县','140826',
'140827','山西省运城市垣曲县','140827',
'140828','山西省运城市夏县','140828',
'140829','山西省运城市平陆县','140829',
'140830','山西省运城市芮城县','140830',
'140881','山西省运城市永济市','140881',
'140882','山西省运城市河津市','140882',
'140900','山西省忻州市','1409',
'140901','山西省忻州市市辖区','140901',
'140902','山西省忻州市忻府区','140902',
'140921','山西省忻州市定襄县','140921',
'140922','山西省忻州市五台县','140922',
'140923','山西省忻州市代县','140923',
'140924','山西省忻州市繁峙县','140924',
'140925','山西省忻州市宁武县','140925',
'140926','山西省忻州市静乐县','140926',
'140927','山西省忻州市神池县','140927',
'140928','山西省忻州市五寨县','140928',
'140929','山西省忻州市岢岚县','140929',
'140930','山西省忻州市河曲县','140930',
'140931','山西省忻州市保德县','140931',
'140932','山西省忻州市偏关县','140932',
'140981','山西省忻州市原平市','140981',
'141000','山西省临汾市','1410',
'141001','山西省临汾市市辖区','141001',
'141002','山西省临汾市尧都区','141002',
'141021','山西省临汾市曲沃县','141021',
'141022','山西省临汾市翼城县','141022',
'141023','山西省临汾市襄汾县','141023',
'141024','山西省临汾市洪洞县','141024',
'141025','山西省临汾市古县','141025',
'141026','山西省临汾市安泽县','141026',
'141027','山西省临汾市浮山县','141027',
'141028','山西省临汾市吉县','141028',
'141029','山西省临汾市乡宁县','141029',
'141030','山西省临汾市大宁县','141030',
'141031','山西省临汾市隰县','141031',
'141032','山西省临汾市永和县','141032',
'141033','山西省临汾市蒲县','141033',
'141034','山西省临汾市汾西县','141034',
'141081','山西省临汾市侯马市','141081',
'141082','山西省临汾市霍州市','141082',
'141100','山西省吕梁市','1411',
'141101','山西省吕梁市市辖区','141101',
'141102','山西省吕梁市离石区','141102',
'141121','山西省吕梁市文水县','141121',
'141122','山西省吕梁市交城县','141122',
'141123','山西省吕梁市兴县','141123',
'141124','山西省吕梁市临县','141124',
'141125','山西省吕梁市柳林县','141125',
'141126','山西省吕梁市石楼县','141126',
'141127','山西省吕梁市岚县','141127',
'141128','山西省吕梁市方山县','141128',
'141129','山西省吕梁市中阳县','141129',
'141130','山西省吕梁市交口县','141130',
'141181','山西省吕梁市孝义市','141181',
'141182','山西省吕梁市汾阳市','141182',
'150000','内蒙古自治区','15',
'150100','内蒙古自治区呼和浩特市','1501',
'150101','内蒙古自治区呼和浩特市市辖区','150101',
'150102','内蒙古自治区呼和浩特市新城区','150102',
'150103','内蒙古自治区呼和浩特市回民区','150103',
'150104','内蒙古自治区呼和浩特市玉泉区','150104',
'150105','内蒙古自治区呼和浩特市赛罕区','150105',
'150121','内蒙古自治区呼和浩特市土默特左旗','150121',
'150122','内蒙古自治区呼和浩特市托克托县','150122',
'150123','内蒙古自治区呼和浩特市和林格尔县','150123',
'150124','内蒙古自治区呼和浩特市清水河县','150124',
'150125','内蒙古自治区呼和浩特市武川县','150125',
'150200','内蒙古自治区包头市','1502',
'150201','内蒙古自治区包头市市辖区','150201',
'150202','内蒙古自治区包头市东河区','150202',
'150203','内蒙古自治区包头市昆都仑区','150203',
'150204','内蒙古自治区包头市青山区','150204',
'150205','内蒙古自治区包头市石拐区','150205',
'150206','内蒙古自治区包头市白云鄂博矿区','150206',
'150207','内蒙古自治区包头市九原区','150207',
'150221','内蒙古自治区包头市土默特右旗','150221',
'150222','内蒙古自治区包头市固阳县','150222',
'150223','内蒙古自治区包头市达尔罕茂明安联合旗','150223',
'150300','内蒙古自治区乌海市','1503',
'150301','内蒙古自治区乌海市市辖区','150301',
'150302','内蒙古自治区乌海市海勃湾区','150302',
'150303','内蒙古自治区乌海市海南区','150303',
'150304','内蒙古自治区乌海市乌达区','150304',
'150400','内蒙古自治区赤峰市','1504',
'150401','内蒙古自治区赤峰市市辖区','150401',
'150402','内蒙古自治区赤峰市红山区','150402',
'150403','内蒙古自治区赤峰市元宝山区','150403',
'150404','内蒙古自治区赤峰市松山区','150404',
'150421','内蒙古自治区赤峰市阿鲁科尔沁旗','150421',
'150422','内蒙古自治区赤峰市巴林左旗','150422',
'150423','内蒙古自治区赤峰市巴林右旗','150423',
'150424','内蒙古自治区赤峰市林西县','150424',
'150425','内蒙古自治区赤峰市克什克腾旗','150425',
'150426','内蒙古自治区赤峰市翁牛特旗','150426',
'150428','内蒙古自治区赤峰市喀喇沁旗','150428',
'150429','内蒙古自治区赤峰市宁城县','150429',
'150430','内蒙古自治区赤峰市敖汉旗','150430',
'150500','内蒙古自治区通辽市','1505',
'150501','内蒙古自治区通辽市市辖区','150501',
'150502','内蒙古自治区通辽市科尔沁区','150502',
'150521','内蒙古自治区通辽市科尔沁左翼中旗','150521',
'150522','内蒙古自治区通辽市科尔沁左翼后旗','150522',
'150523','内蒙古自治区通辽市开鲁县','150523',
'150524','内蒙古自治区通辽市库伦旗','150524',
'150525','内蒙古自治区通辽市奈曼旗','150525',
'150526','内蒙古自治区通辽市扎鲁特旗','150526',
'150581','内蒙古自治区通辽市霍林郭勒市','150581',
'150600','内蒙古自治区鄂尔多斯市','1506',
'150601','内蒙古自治区鄂尔多斯市市辖区','150601',
'150602','内蒙古自治区鄂尔多斯市东胜区','150602',
'150621','内蒙古自治区鄂尔多斯市达拉特旗','150621',
'150622','内蒙古自治区鄂尔多斯市准格尔旗','150622',
'150623','内蒙古自治区鄂尔多斯市鄂托克前旗','150623',
'150624','内蒙古自治区鄂尔多斯市鄂托克旗','150624',
'150625','内蒙古自治区鄂尔多斯市杭锦旗','150625',
'150626','内蒙古自治区鄂尔多斯市乌审旗','150626',
'150627','内蒙古自治区鄂尔多斯市伊金霍洛旗','150627',
'150700','内蒙古自治区呼伦贝尔市','1507',
'150701','内蒙古自治区呼伦贝尔市市辖区','150701',
'150702','内蒙古自治区呼伦贝尔市海拉尔区','150702',
'150703','内蒙古自治区呼伦贝尔市扎赉诺尔区','150703',
'150721','内蒙古自治区呼伦贝尔市阿荣旗','150721',
'150722','内蒙古自治区呼伦贝尔市莫力达瓦达斡尔族自治旗','150722',
'150723','内蒙古自治区呼伦贝尔市鄂伦春自治旗','150723',
'150724','内蒙古自治区呼伦贝尔市鄂温克族自治旗','150724',
'150725','内蒙古自治区呼伦贝尔市陈巴尔虎旗','150725',
'150726','内蒙古自治区呼伦贝尔市新巴尔虎左旗','150726',
'150727','内蒙古自治区呼伦贝尔市新巴尔虎右旗','150727',
'150781','内蒙古自治区呼伦贝尔市满洲里市','150781',
'150782','内蒙古自治区呼伦贝尔市牙克石市','150782',
'150783','内蒙古自治区呼伦贝尔市扎兰屯市','150783',
'150784','内蒙古自治区呼伦贝尔市额尔古纳市','150784',
'150785','内蒙古自治区呼伦贝尔市根河市','150785',
'150800','内蒙古自治区巴彦淖尔市','1508',
'150801','内蒙古自治区巴彦淖尔市市辖区','150801',
'150802','内蒙古自治区巴彦淖尔市临河区','150802',
'150821','内蒙古自治区巴彦淖尔市五原县','150821',
'150822','内蒙古自治区巴彦淖尔市磴口县','150822',
'150823','内蒙古自治区巴彦淖尔市乌拉特前旗','150823',
'150824','内蒙古自治区巴彦淖尔市乌拉特中旗','150824',
'150825','内蒙古自治区巴彦淖尔市乌拉特后旗','150825',
'150826','内蒙古自治区巴彦淖尔市杭锦后旗','150826',
'150900','内蒙古自治区乌兰察布市','1509',
'150901','内蒙古自治区乌兰察布市市辖区','150901',
'150902','内蒙古自治区乌兰察布市集宁区','150902',
'150921','内蒙古自治区乌兰察布市卓资县','150921',
'150922','内蒙古自治区乌兰察布市化德县','150922',
'150923','内蒙古自治区乌兰察布市商都县','150923',
'150924','内蒙古自治区乌兰察布市兴和县','150924',
'150925','内蒙古自治区乌兰察布市凉城县','150925',
'150926','内蒙古自治区乌兰察布市察哈尔右翼前旗','150926',
'150927','内蒙古自治区乌兰察布市察哈尔右翼中旗','150927',
'150928','内蒙古自治区乌兰察布市察哈尔右翼后旗','150928',
'150929','内蒙古自治区乌兰察布市四子王旗','150929',
'150981','内蒙古自治区乌兰察布市丰镇市','150981',
'152200','内蒙古自治区兴安盟','1522',
'152201','内蒙古自治区兴安盟乌兰浩特市','152201',
'152202','内蒙古自治区兴安盟阿尔山市','152202',
'152221','内蒙古自治区兴安盟科尔沁右翼前旗','152221',
'152222','内蒙古自治区兴安盟科尔沁右翼中旗','152222',
'152223','内蒙古自治区兴安盟扎赉特旗','152223',
'152224','内蒙古自治区兴安盟突泉县','152224',
'152500','内蒙古自治区锡林郭勒盟','1525',
'152501','内蒙古自治区锡林郭勒盟二连浩特市','152501',
'152502','内蒙古自治区锡林郭勒盟锡林浩特市','152502',
'152522','内蒙古自治区锡林郭勒盟阿巴嘎旗','152522',
'152523','内蒙古自治区锡林郭勒盟苏尼特左旗','152523',
'152524','内蒙古自治区锡林郭勒盟苏尼特右旗','152524',
'152525','内蒙古自治区锡林郭勒盟东乌珠穆沁旗','152525',
'152526','内蒙古自治区锡林郭勒盟西乌珠穆沁旗','152526',
'152527','内蒙古自治区锡林郭勒盟太仆寺旗','152527',
'152528','内蒙古自治区锡林郭勒盟镶黄旗','152528',
'152529','内蒙古自治区锡林郭勒盟正镶白旗','152529',
'152530','内蒙古自治区锡林郭勒盟正蓝旗','152530',
'152531','内蒙古自治区锡林郭勒盟多伦县','152531',
'152900','内蒙古自治区阿拉善盟','1529',
'152921','内蒙古自治区阿拉善盟阿拉善左旗','152921',
'152922','内蒙古自治区阿拉善盟阿拉善右旗','152922',
'152923','内蒙古自治区阿拉善盟额济纳旗','152923',
'210000','辽宁省','21',
'210100','辽宁省沈阳市','2101',
'210101','辽宁省沈阳市市辖区','210101',
'210102','辽宁省沈阳市和平区','210102',
'210103','辽宁省沈阳市沈河区','210103',
'210104','辽宁省沈阳市大东区','210104',
'210105','辽宁省沈阳市皇姑区','210105',
'210106','辽宁省沈阳市铁西区','210106',
'210111','辽宁省沈阳市苏家屯区','210111',
'210112','辽宁省沈阳市浑南区','210112',
'210113','辽宁省沈阳市沈北新区','210113',
'210114','辽宁省沈阳市于洪区','210114',
'210122','辽宁省沈阳市辽中县','210122',
'210123','辽宁省沈阳市康平县','210123',
'210124','辽宁省沈阳市法库县','210124',
'210181','辽宁省沈阳市新民市','210181',
'210200','辽宁省大连市','2102',
'210201','辽宁省大连市市辖区','210201',
'210202','辽宁省大连市中山区','210202',
'210203','辽宁省大连市西岗区','210203',
'210204','辽宁省大连市沙河口区','210204',
'210211','辽宁省大连市甘井子区','210211',
'210212','辽宁省大连市旅顺口区','210212',
'210213','辽宁省大连市金州区','210213',
'210224','辽宁省大连市长海县','210224',
'210281','辽宁省大连市瓦房店市','210281',
'210282','辽宁省大连市普兰店市','210282',
'210283','辽宁省大连市庄河市','210283',
'210300','辽宁省鞍山市','2103',
'210301','辽宁省鞍山市市辖区','210301',
'210302','辽宁省鞍山市铁东区','210302',
'210303','辽宁省鞍山市铁西区','210303',
